,Gros-Islet,Castries,Dennery,Anse La Raye,Canaries,Soufriere,Choiseul,Laborie,Micoud,Vieux-Fort
male,346,885,65,96,9,42,21,25,67,80
female,464,1122,91,134,10,49,39,34,89,123
